GEOID,dist_type,store_rowid,row,duration,mb_rank
13135050733,D1,696,2971,0.61239999999999994,MB1
13121001206,D1,59,1026,0.8484666666666667,MB1
13067031005,D1,569,2266,0.9999666666666667,MB1
13135050336,D1,616,3441,1.0908,MB1
13121007400,D1,52,4371,1.1642000000000001,MB1
13121008203,D1,51,691,1.2758166666666668,MB1
13067031417,D1,64,1491,1.5502166666666668,MB1
13121007500,D1,48,2671,1.5815,MB1
13089022100,D1,690,4856,1.5913666666666666,MB1
13121007808,D1,50,2541,1.6451833333333332,MB1
13067031415,D1,63,1591,1.8000166666666668,MB1
13067031004,D1,568,2261,1.94405,MB1
13067031320,D1,62,1816,2.0513833333333333,MB1
13067031110,D1,695,2206,2.0526166666666668,MB1
13089021914,D1,844,4626,2.083083333333333,MB1
13063040420,D1,651,4761,2.1462833333333333,MB1
13135050719,D1,697,4991,2.1828999999999996,MB1
13121006100,D1,47,2646,2.395033333333333,MB1
13121006000,D1,47,2681,2.509783333333333,MB1
13089022900,D1,303,81,2.5748666666666664,MB1
13121007809,D1,49,686,2.5854500000000002,MB1
13121001102,D1,59,806,2.5981666666666663,MB1
13135050233,D1,344,3276,2.628816666666667,MB1
13121010526,D1,53,826,2.652216666666667,MB1
13063040418,D1,509,4756,2.6525833333333333,MB1
13121010120,D1,46,1366,2.66055,MB1
13067031119,D1,569,1896,2.6639,MB1
13063040510,D1,217,4871,2.7241500000000003,MB1
13063040527,D1,660,3651,2.7276499999999997,MB1
13121007500,D2,52,2672,2.7323999999999997,MB2
13121001204,D1,59,811,2.7515,MB1
13121010604,D1,216,4736,2.7612333333333337,MB1
13089021908,D1,724,466,2.8184,MB1
13063040419,D1,509,901,2.821183333333333,MB1
13121008601,D1,51,2626,2.8483333333333336,MB1
13121011310,D1,348,746,2.8571,MB1
13121010125,D1,46,4081,2.874216666666667,MB1
13063040427,D1,651,4776,2.8770333333333338,MB1
13089023313,D1,523,176,2.8857833333333334,MB1
13067031518,D1,567,1856,2.8899,MB1
13063040407,D1,509,4851,2.90855,MB1
13067031323,D1,545,1801,2.9132833333333332,MB1
13121001101,D1,59,781,2.9178333333333333,MB1
13063040310,D2,596,4767,2.935166666666667,MB1
13089023107,D1,303,186,2.9419166666666663,MB1
13063040310,D1,381,4766,2.9564166666666667,MB2
13089023102,D1,303,141,2.9638333333333335,MB1
13135050444,D1,517,3501,2.978666666666667,MB1
13121010124,D1,46,771,3.0035499999999997,MB1
13089022007,D1,198,4336,3.0076166666666664,MB1
13135050738,D1,698,2966,3.019633333333333,MB1
13135050459,D2,517,3627,3.035816666666667,MB1
13067031414,D1,63,1581,3.0540666666666665,MB1
13063040309,D1,381,4751,3.0626666666666664,MB1
13067030104,D1,4,2226,3.0675166666666667,MB1
13135050459,D1,519,3626,3.1202833333333335,MB2
13067030275,D1,487,1696,3.131333333333333,MB1
13063040529,D1,659,3646,3.1323833333333337,MB1
13135050734,D1,696,2981,3.1463666666666668,MB1
13063040513,D1,660,4876,3.1545166666666664,MB1
13089022012,D1,198,1206,3.1655,MB1
13135050306,D1,618,71,3.1735333333333333,MB1
13089023318,D1,525,4421,3.177216666666667,MB1
13135050435,D1,519,2016,3.1864666666666666,MB1
13089023440,D1,524,4646,3.198716666666667,MB1
13089021310,D1,314,1221,3.2136666666666667,MB1
13121011301,D1,56,4286,3.2566166666666665,MB1
13135050623,D1,269,3141,3.2580666666666667,MB1
13067031116,D2,695,2132,3.2634333333333334,MB1
13135050763,D1,697,3361,3.28595,MB1
13135050460,D1,519,3386,3.287916666666667,MB1
13135050571,D1,268,3136,3.30465,MB1
13063040407,D2,596,4852,3.3305166666666666,MB2
13067031006,D1,568,1411,3.3525666666666667,MB1
13135050450,D1,617,3381,3.353216666666667,MB1
13121008103,D1,57,3981,3.3983833333333333,MB1
13089023328,D1,526,4561,3.4424,MB1
13135050111,D1,125,3431,3.4575166666666663,MB1
13135050331,D1,314,3451,3.473716666666667,MB1
13121001205,D1,59,816,3.4866666666666664,MB1
13089023327,D1,526,4681,3.487083333333333,MB1
