GEOID,dist_type,store_rowid_p,dist,row,duration,mb_rank
13063040202,D1,54,7790.216353665987,4836,13.872133333333332,MB1
13063040202,D2,9,12546.33474923101,4837,13.92745,MB2
13063040202,D4,8,19192.656255749407,4839,22.108783333333335,MB3
13063040202,D3,10,18508.266005893805,4838,23.235933333333332,MB4
13063040202,D5,53,34798.25718906711,4840,38.60718333333333,MB5
13063040203,D1,54,6441.206438724551,1981,16.158916666666666,MB1
13063040203,D2,9,8772.07223135937,1982,16.562166666666666,MB2
13063040203,D3,8,19339.074283174716,1983,24.743499999999997,MB3
13063040203,D4,10,20302.729440351493,1984,29.3614,MB4
13063040203,D5,53,31602.330315362895,1985,41.2419,MB5
13063040204,D1,54,6823.393056672855,1936,14.24445,MB1
13063040204,D2,9,9826.88550573336,1937,14.299766666666667,MB2
13063040204,D3,8,19436.14857060963,1938,22.4811,MB3
13063040204,D4,10,19944.38591006967,1939,26.56703333333333,MB4
13063040204,D5,53,32571.9345552486,1940,38.97951666666667,MB5
13063040302,D1,54,10121.693396854263,4826,19.075049999999997,MB1
13063040302,D3,9,16692.192002779764,4828,19.380616666666665,MB2
13063040302,D2,10,16124.7560942477,4827,24.532833333333333,MB3
13063040302,D4,8,18760.159217759294,4829,24.919249999999998,MB4
13063040302,D5,118,37299.43813484583,4830,42.807300000000005,MB5
13063040306,D1,54,10391.025098606198,1376,20.718666666666664,MB1
13063040306,D2,9,15027.592075299568,1377,20.773983333333334,MB2
13063040306,D3,10,19261.888490332658,1378,26.35488333333333,MB3
13063040306,D4,8,20997.090886206905,1379,26.741300000000003,MB4
13063040306,D5,53,37524.102434288296,1380,43.69083333333333,MB5
13063040307,D1,54,12642.283400185595,2676,21.854666666666667,MB1
13063040307,D2,9,17113.156880304497,2677,21.909983333333333,MB2
13063040307,D3,10,20289.848730315698,2678,27.373216666666668,MB3
13063040307,D4,8,22748.4741632982,2679,27.759633333333333,MB4
13063040307,D5,72,37343.931763443594,2680,40.20753333333334,MB5
13063040308,D1,54,9473.156450239658,1931,17.288349999999998,MB1
13063040308,D2,9,15529.7607941868,1932,17.343683333333335,MB2
13063040308,D3,10,16961.828700666072,1933,23.71623333333333,MB3
13063040308,D4,8,19030.929103085025,1934,25.525,MB4
13063040308,D5,53,37150.821771626055,1935,42.02341666666667,MB5
13063040309,D1,54,11878.798718532531,4751,18.922250000000002,MB1
13063040309,D3,9,18931.093728683485,4753,18.97758333333333,MB2
13063040309,D2,10,15328.369228169997,4752,24.506716666666666,MB3
13063040309,D4,8,19031.715228225305,4754,24.89313333333333,MB4
13063040309,D5,118,34990.231742176715,4755,39.82183333333333,MB5
13063040310,D1,54,12186.570527939604,4766,19.852833333333333,MB1
13063040310,D3,9,18428.211540936365,4768,19.90815,MB2
13063040310,D2,10,17141.978714233763,4767,25.48163333333333,MB3
13063040310,D4,8,20464.939228185027,4769,25.86805,MB4
13063040310,D5,118,35958.928219618756,4770,41.265049999999995,MB5
13063040407,D1,54,14720.611927320475,4851,22.5013,MB1
13063040407,D3,9,20128.603543587178,4853,22.556616666666667,MB2
13063040407,D2,10,19620.703438134387,4852,28.183116666666667,MB3
13063040407,D4,8,23297.454229921805,4854,28.569533333333332,MB4
13063040407,D5,118,35403.59802713453,4855,43.20676666666667,MB5
13063040409,D1,54,17695.259371445718,4846,24.817983333333334,MB1
13063040409,D3,9,22560.670358486248,4848,24.873266666666666,MB2
13063040409,D4,8,26235.501453992387,4849,30.722933333333334,MB3
13063040409,D2,10,22110.99669153548,4847,33.63238333333333,MB4
13063040409,D5,38,34295.13199666202,4850,44.950799999999994,MB5
13063040410,D1,54,15799.292594914305,4831,24.458133333333333,MB1
13063040410,D3,9,22196.94031635608,4833,24.513433333333335,MB2
13063040410,D4,8,22710.73376792444,4834,29.159283333333335,MB3
13063040410,D2,10,18040.758471328136,4832,29.5259,MB4
13063040410,D5,118,32600.73555769322,4835,41.301066666666664,MB5
13063040414,D1,54,12686.149952827405,1941,16.648116666666667,MB1
13063040414,D2,9,16245.13523423266,1942,16.70345,MB2
13063040414,D3,10,21548.310239252165,1943,22.166666666666668,MB3
13063040414,D4,8,23526.31760675183,1944,22.553099999999997,MB4
13063040414,D5,72,36581.44865418462,1945,36.487033333333336,MB5
13063040416,D1,54,14363.63265137796,1906,20.44245,MB1
13063040416,D2,9,18013.562544166536,1907,20.497766666666667,MB2
13063040416,D3,10,22248.328083171273,1908,25.961000000000002,MB3
13063040416,D4,8,24772.456890381745,1909,26.347416666666668,MB4
13063040416,D5,72,35314.362635909456,1910,33.8069,MB5
13063040417,D1,54,15344.075481090997,1986,25.783683333333332,MB1
13063040417,D2,9,18071.08620395021,1987,25.838966666666668,MB2
13063040417,D3,10,23999.724492161236,1988,31.302216666666666,MB3
13063040417,D4,8,26266.174912903316,1989,31.688633333333332,MB4
13063040417,D5,72,33827.58447779391,1990,40.2538,MB5
13063040418,D1,54,14260.511155382308,4756,22.461233333333332,MB1
13063040418,D2,9,18811.026444182193,4757,22.51655,MB2
13063040418,D3,10,20873.918153216942,4758,27.979783333333334,MB3
13063040418,D4,8,23887.41294962633,4759,28.3662,MB4
13063040418,D5,72,36322.06459205318,4760,37.72885,MB5
13063040419,D1,54,15924.565043894994,901,22.4599,MB1
13063040419,D2,9,20502.85068940284,902,22.515216666666667,MB2
13063040419,D3,10,21649.121225379047,903,27.978450000000002,MB3
