services,store_url,store_name,stradd,city,state,lat,long
Tobaco,https://www.familydollar.com/locations/ga/abbeville/30717/,FAMILY DOLLAR #10717,121 Main Street E,Abbeville,GA,31.9919777,-83.30597313
Adult Beverage,https://www.familydollar.com/locations/ga/abbeville/30717/,FAMILY DOLLAR #10717,121 Main Street E,Abbeville,GA,31.9919777,-83.30597313
Propane,https://www.familydollar.com/locations/ga/abbeville/30717/,FAMILY DOLLAR #10717,121 Main Street E,Abbeville,GA,31.9919777,-83.30597313
Tobaco,https://www.familydollar.com/locations/ga/acworth/30480/,FAMILY DOLLAR #10480,3454 Baker Road,Acworth,GA,34.0762,-84.6506
Adult Beverage,https://www.familydollar.com/locations/ga/acworth/30480/,FAMILY DOLLAR #10480,3454 Baker Road,Acworth,GA,34.0762,-84.6506
Tobaco,https://www.familydollar.com/locations/ga/acworth/25651/,FAMILY DOLLAR #5651,5540 Bells Ferry Rd,Acworth,GA,34.086501,-84.573935
Tobaco,https://www.familydollar.com/locations/ga/adairsville/24155/,FAMILY DOLLAR #4155,7421 Adairsville Hwy,Adairsville,GA,34.378481,-84.93183
Tobaco,https://www.familydollar.com/locations/ga/adel/20331/,FAMILY DOLLAR #331,507 W 4th St,Adel,GA,31.134967,-83.429704
Adult Beverage,https://www.familydollar.com/locations/ga/adel/20331/,FAMILY DOLLAR #331,507 W 4th St,Adel,GA,31.134967,-83.429704
Propane,https://www.familydollar.com/locations/ga/adel/20331/,FAMILY DOLLAR #331,507 W 4th St,Adel,GA,31.134967,-83.429704
Tobaco,https://www.familydollar.com/locations/ga/albany/30958/,FAMILY DOLLAR #10958,2408 Dawson Road,Albany,GA,31.607714,-84.209513
Adult Beverage,https://www.familydollar.com/locations/ga/albany/30958/,FAMILY DOLLAR #10958,2408 Dawson Road,Albany,GA,31.607714,-84.209513
Propane,https://www.familydollar.com/locations/ga/albany/30958/,FAMILY DOLLAR #10958,2408 Dawson Road,Albany,GA,31.607714,-84.209513
Tobaco,https://www.familydollar.com/locations/ga/albany/31047/,FAMILY DOLLAR #11047,1000 N Slappey Blvd.,Albany,GA,31.59045378,-84.17576764
Adult Beverage,https://www.familydollar.com/locations/ga/albany/31047/,FAMILY DOLLAR #11047,1000 N Slappey Blvd.,Albany,GA,31.59045378,-84.17576764
Tobaco,https://www.familydollar.com/locations/ga/albany/31395/,FAMILY DOLLAR #11395,3907 Gillionville Road,Albany,GA,31.58640993,-84.25182338
Adult Beverage,https://www.familydollar.com/locations/ga/albany/31395/,FAMILY DOLLAR #11395,3907 Gillionville Road,Albany,GA,31.58640993,-84.25182338
Tobaco,https://www.familydollar.com/locations/ga/albany/31463/,FAMILY DOLLAR #11463,1505 N. Maple Street,Albany,GA,31.59683897,-84.11649918
Adult Beverage,https://www.familydollar.com/locations/ga/albany/31463/,FAMILY DOLLAR #11463,1505 N. Maple Street,Albany,GA,31.59683897,-84.11649918
Tobaco,https://www.familydollar.com/locations/ga/albany/20339/,FAMILY DOLLAR #339,211 S Slappy Blvd,Albany,GA,31.574047,-84.176739
Adult Beverage,https://www.familydollar.com/locations/ga/albany/20339/,FAMILY DOLLAR #339,211 S Slappy Blvd,Albany,GA,31.574047,-84.176739
Tobaco,https://www.familydollar.com/locations/ga/albany/20427/,FAMILY DOLLAR #427,301 E. Oglethorpe Blvd,Albany,GA,31.57592411,-84.14194818
Adult Beverage,https://www.familydollar.com/locations/ga/albany/20427/,FAMILY DOLLAR #427,301 E. Oglethorpe Blvd,Albany,GA,31.57592411,-84.14194818
Tobaco,https://www.familydollar.com/locations/ga/albany/24873/,FAMILY DOLLAR #4873,110 Cordele Rd,Albany,GA,31.576856,-84.090097
Tobaco,https://www.familydollar.com/locations/ga/albany/26111/,FAMILY DOLLAR #6111,1031 W Gordon Ave,Albany,GA,31.567242,-84.174229
Tobaco,https://www.familydollar.com/locations/ga/albany/26485/,FAMILY DOLLAR #6485,1502 Radium Springs Rd,Albany,GA,31.551306,-84.136419
Adult Beverage,https://www.familydollar.com/locations/ga/albany/26485/,FAMILY DOLLAR #6485,1502 Radium Springs Rd,Albany,GA,31.551306,-84.136419
Tobaco,https://www.familydollar.com/locations/ga/alma/20700/,FAMILY DOLLAR #700,902 S Pierce St,Alma,GA,31.535329,-82.462947
Adult Beverage,https://www.familydollar.com/locations/ga/alma/20700/,FAMILY DOLLAR #700,902 S Pierce St,Alma,GA,31.535329,-82.462947
Tobaco,https://www.familydollar.com/locations/ga/americus/20236/,FAMILY DOLLAR #236,202 Manhattan St,Americus,GA,32.072215,-84.214979
Tobaco,https://www.familydollar.com/locations/ga/americus/26162/,FAMILY DOLLAR #6162,1202 Martin Luther King Jr. Bl,Americus,GA,32.083776,-84.240019
Adult Beverage,https://www.familydollar.com/locations/ga/americus/26162/,FAMILY DOLLAR #6162,1202 Martin Luther King Jr. Bl,Americus,GA,32.083776,-84.240019
Tobaco,https://www.familydollar.com/locations/ga/athens/20103/,FAMILY DOLLAR #103,335 North Avenue,Athens,GA,33.97496,-83.365301
Adult Beverage,https://www.familydollar.com/locations/ga/athens/20103/,FAMILY DOLLAR #103,335 North Avenue,Athens,GA,33.97496,-83.365301
