state_url,,,,,,,,,,,,,,,,,
https://www.familydollar.com/locations/al/,,,,,,,,,,,,,,,,AL,al
https://www.familydollar.com/locations/ak/,,,,,,,,,,,,,,,,AK,ak
https://www.familydollar.com/locations/az/,,,,,,,,,,,,,,,,AZ,az
https://www.familydollar.com/locations/ar/,,,,,,,,,,,,,,,,AR,ar
https://www.familydollar.com/locations/ca/,,,,,,,,,,,,,,,,CA,ca
https://www.familydollar.com/locations/co/,,,,,,,,,,,,,,,,CO,co
https://www.familydollar.com/locations/ct/,,,,,,,,,,,,,,,,CT,ct
https://www.familydollar.com/locations/de/,,,,,,,,,,,,,,,,DE,de
https://www.familydollar.com/locations/dc/,,,,,,,,,,,,,,,,DC,dc
https://www.familydollar.com/locations/fl/,,,,,,,,,,,,,,,,FL,fl
https://www.familydollar.com/locations/ga/,,,,,,,,,,,,,,,,GA,ga
https://www.familydollar.com/locations/hi/,,,,,,,,,,,,,,,,HI,hi
https://www.familydollar.com/locations/id/,,,,,,,,,,,,,,,,ID,id
https://www.familydollar.com/locations/il/,,,,,,,,,,,,,,,,IL,il
https://www.familydollar.com/locations/in/,,,,,,,,,,,,,,,,IN,in
https://www.familydollar.com/locations/ia/,,,,,,,,,,,,,,,,IA,ia
https://www.familydollar.com/locations/ks/,,,,,,,,,,,,,,,,KS,ks
https://www.familydollar.com/locations/ky/,,,,,,,,,,,,,,,,KY,ky
https://www.familydollar.com/locations/la/,,,,,,,,,,,,,,,,LA,la
https://www.familydollar.com/locations/me/,,,,,,,,,,,,,,,,ME,me
https://www.familydollar.com/locations/md/,,,,,,,,,,,,,,,,MD,md
https://www.familydollar.com/locations/ma/,,,,,,,,,,,,,,,,MA,ma
https://www.familydollar.com/locations/mi/,,,,,,,,,,,,,,,,MI,mi
https://www.familydollar.com/locations/mn/,,,,,,,,,,,,,,,,MN,mn
https://www.familydollar.com/locations/ms/,,,,,,,,,,,,,,,,MS,ms
https://www.familydollar.com/locations/mo/,,,,,,,,,,,,,,,,MO,mo
https://www.familydollar.com/locations/mt/,,,,,,,,,,,,,,,,MT,mt
https://www.familydollar.com/locations/ne/,,,,,,,,,,,,,,,,NE,ne
https://www.familydollar.com/locations/nv/,,,,,,,,,,,,,,,,NV,nv
https://www.familydollar.com/locations/nh/,,,,,,,,,,,,,,,,NH,nh
https://www.familydollar.com/locations/nj/,,,,,,,,,,,,,,,,NJ,nj
https://www.familydollar.com/locations/nm/,,,,,,,,,,,,,,,,NM,nm
https://www.familydollar.com/locations/ny/,,,,,,,,,,,,,,,,NY,ny
https://www.familydollar.com/locations/nc/,,,,,,,,,,,,,,,,NC,nc
https://www.familydollar.com/locations/nd/,,,,,,,,,,,,,,,,ND,nd
https://www.familydollar.com/locations/oh/,,,,,,,,,,,,,,,,OH,oh
https://www.familydollar.com/locations/ok/,,,,,,,,,,,,,,,,OK,ok
https://www.familydollar.com/locations/or/,,,,,,,,,,,,,,,,OR,or
https://www.familydollar.com/locations/pa/,,,,,,,,,,,,,,,,PA,pa
https://www.familydollar.com/locations/ri/,,,,,,,,,,,,,,,,RI,ri
https://www.familydollar.com/locations/sc/,,,,,,,,,,,,,,,,SC,sc
https://www.familydollar.com/locations/sd/,,,,,,,,,,,,,,,,SD,sd
https://www.familydollar.com/locations/tn/,,,,,,,,,,,,,,,,TN,tn
https://www.familydollar.com/locations/tx/,,,,,,,,,,,,,,,,TX,tx
https://www.familydollar.com/locations/ut/,,,,,,,,,,,,,,,,UT,ut
https://www.familydollar.com/locations/vt/,,,,,,,,,,,,,,,,VT,vt
https://www.familydollar.com/locations/va/,,,,,,,,,,,,,,,,VA,va
https://www.familydollar.com/locations/wa/,,,,,,,,,,,,,,,,WA,wa
https://www.familydollar.com/locations/wv/,,,,,,,,,,,,,,,,WV,wv
https://www.familydollar.com/locations/wi/,,,,,,,,,,,,,,,,WI,wi
https://www.familydollar.com/locations/wy/,,,,,,,,,,,,,,,,WY,wy
,,,,,,,,,,,,,,,,,
